Date,High,Low,Open,Close,Volume,Adj Close
2017-10-03,23.0,21.5,22.0,21.5,21900,21.5
2017-10-04,23.5,21.5,22.0,23.0,12800,23.0
2017-10-05,24.0,23.0,23.5,23.5,10600,23.5
2017-10-06,24.700000762939453,23.0,23.5,24.0,12500,24.0
2017-10-09,25.0,23.5,24.0,24.5,20900,24.5
2017-10-10,24.5,24.0,24.0,24.0,12500,24.0
2017-10-11,24.600000381469727,24.0,24.0,24.0,12000,24.0
2017-10-12,24.5,24.0,24.0,24.0,4800,24.0
2017-10-13,24.5,23.5,24.0,24.5,8600,24.5
2017-10-16,24.5,23.5,24.5,24.0,7300,24.0
2017-10-17,24.5,23.0,24.0,23.0,6400,23.0
2017-10-18,23.5,23.0,23.0,23.0,5500,23.0
2017-10-19,23.5,21.700000762939453,23.0,23.0,30800,23.0
2017-10-20,24.0,23.0,23.0,23.5,7000,23.5
2017-10-23,24.5,23.5,24.0,23.5,7000,23.5
2017-10-24,24.0,22.5,24.0,23.5,33000,23.5
2017-10-25,24.0,23.0,23.0,24.0,5000,24.0
2017-10-26,25.0,23.0,24.0,23.5,26300,23.5
2017-10-27,24.5,23.0,23.5,24.0,8100,24.0
2017-10-30,24.399999618530273,23.0,24.0,23.5,3700,23.5
2017-10-31,24.0,22.5,23.5,22.5,34500,22.5
2017-11-01,23.100000381469727,22.0,22.5,22.5,10700,22.5
2017-11-02,23.0,22.5,22.5,22.5,2100,22.5
2017-11-03,23.5,22.5,22.5,23.0,6200,23.0
2017-11-06,23.5,22.5,23.0,23.0,10600,23.0
2017-11-07,24.0,23.0,23.0,23.5,10200,23.5
2017-11-08,24.0,22.5,23.5,22.5,6700,22.5
2017-11-09,23.5,22.5,22.5,23.5,11100,23.5
2017-11-10,24.0,23.0,24.0,23.5,3500,23.5
2017-11-13,23.600000381469727,22.5,23.5,23.0,5900,23.0
2017-11-14,23.5,22.5,22.5,23.0,1600,23.0
2017-11-15,23.5,22.5,23.0,23.0,9500,23.0
2017-11-16,23.5,22.5,23.0,23.0,18200,23.0
2017-11-17,23.5,22.5,22.5,23.5,11800,23.5
2017-11-20,23.5,23.100000381469727,23.5,23.5,2800,23.5
2017-11-21,23.799999237060547,23.0,23.5,23.0,6500,23.0
2017-11-22,24.0,23.0,23.0,24.0,6100,24.0
2017-11-24,24.0,23.5,24.0,24.0,3800,24.0
2017-11-27,24.0,23.5,24.0,24.0,7600,24.0
2017-11-28,24.5,23.0,23.5,24.0,11400,24.0
2017-11-29,24.0,23.5,24.0,23.5,19000,23.5
2017-11-30,24.0,23.0,23.5,23.5,12600,23.5
2017-12-01,24.0,22.5,23.5,24.0,10500,24.0
2017-12-04,24.0,22.5,24.0,23.0,15700,23.0
2017-12-05,24.0,22.5,23.0,24.0,38900,24.0
2017-12-06,24.0,22.100000381469727,23.5,23.0,87200,23.0
2017-12-07,23.5,22.5,23.0,23.0,19200,23.0
2017-12-08,23.299999237060547,22.5,23.0,23.0,34400,23.0
2017-12-11,23.5,22.5,22.5,23.0,29800,23.0
2017-12-12,23.5,22.799999237060547,23.5,23.5,13800,23.5
2017-12-13,24.0,23.0,23.5,24.0,8700,24.0
2017-12-14,24.5,23.5,24.0,24.0,14800,24.0
2017-12-15,24.0,23.100000381469727,23.5,24.0,16900,24.0
2017-12-18,24.0,23.0,24.0,23.5,21400,23.5
2017-12-19,24.0,23.0,24.0,24.0,23200,24.0
2017-12-20,24.0,23.0,24.0,24.0,14000,24.0
2017-12-21,24.0,23.0,24.0,24.0,26600,24.0
2017-12-22,24.0,23.5,24.0,23.5,9400,23.5
2017-12-26,24.0,23.5,23.5,23.5,3200,23.5
2017-12-27,24.0,23.200000762939453,23.5,24.0,16700,24.0
2017-12-28,24.0,23.0,23.5,23.5,10800,23.5
2017-12-29,24.0,23.5,23.5,23.5,4600,23.5
2018-01-02,23.899999618530273,23.0,23.5,23.0,8000,23.0
2018-01-03,23.5,23.0,23.0,23.0,9900,23.0
2018-01-04,23.5,23.0,23.5,23.5,9000,23.5
2018-01-05,24.5,23.0,23.5,24.5,30900,24.5
2018-01-08,24.5,23.5,24.0,23.5,15900,23.5
2018-01-09,24.0,23.5,23.5,24.0,6100,24.0
2018-01-10,24.200000762939453,23.5,24.0,24.0,9700,24.0
2018-01-11,24.5,23.5,24.0,24.0,18200,24.0
2018-01-12,24.5,23.700000762939453,24.0,24.5,15000,24.5
2018-01-16,24.5,23.600000381469727,24.0,24.0,10700,24.0
2018-01-17,24.0,23.5,24.0,24.0,17600,24.0
2018-01-18,24.5,23.5,24.0,24.0,11600,24.0
2018-01-19,24.299999237060547,23.5,23.5,23.5,19600,23.5
2018-01-22,24.0,23.5,23.5,24.0,10200,24.0
2018-01-23,25.799999237060547,23.5,23.5,25.5,31100,25.5
2018-01-24,25.5,24.5,25.5,24.5,14200,24.5
2018-01-25,26.0,24.5,24.5,26.0,13100,26.0
2018-01-26,27.0,25.100000381469727,25.5,26.5,15400,26.5
2018-01-29,27.0,26.0,27.0,27.0,13300,27.0
2018-01-30,27.5,26.0,27.0,26.5,9000,26.5
2018-01-31,27.399999618530273,25.5,26.5,26.0,10700,26.0
2018-02-01,27.0,25.5,26.0,26.0,14400,26.0
2018-02-02,26.5,24.0,26.0,24.5,21100,24.5
2018-02-05,25.0,23.5,25.0,23.5,16900,23.5
2018-02-06,24.399999618530273,23.0,23.5,23.0,24900,23.0
2018-02-07,24.5,23.0,23.0,24.0,59900,24.0
2018-02-08,24.200000762939453,23.5,24.0,24.0,9500,24.0
2018-02-09,24.0,23.0,24.0,23.0,7400,23.0
2018-02-12,23.5,22.700000762939453,23.0,23.0,57100,23.0
2018-02-13,24.0,23.0,23.0,24.0,4200,24.0
2018-02-14,24.5,23.0,24.0,24.0,12200,24.0
2018-02-15,25.0,24.0,24.5,25.0,8000,25.0
2018-02-16,25.0,24.0,24.5,24.5,5000,24.5
2018-02-20,25.5,24.5,24.5,24.5,25400,24.5
2018-02-21,26.0,24.5,24.5,25.5,25700,25.5
2018-02-22,25.5,25.0,25.5,25.5,6600,25.5
2018-02-23,25.5,25.0,25.5,25.0,17900,25.0
2018-02-26,25.5,24.0,25.0,24.5,21100,24.5
2018-02-27,24.5,23.5,24.5,23.5,6700,23.5
2018-02-28,24.5,23.5,23.5,24.5,16700,24.5
2018-03-01,25.799999237060547,23.5,24.0,25.0,32000,25.0
2018-03-02,25.0,23.5,25.0,23.5,15600,23.5
2018-03-05,24.0,23.0,24.0,23.5,26600,23.5
2018-03-06,24.200000762939453,23.5,23.5,23.5,5600,23.5
2018-03-07,24.0,23.0,23.5,23.5,10300,23.5
2018-03-08,24.0,23.0,23.5,23.5,2000,23.5
2018-03-09,24.0,23.0,23.5,23.5,20200,23.5
2018-03-12,24.0,23.0,23.0,23.5,10100,23.5
2018-03-13,24.0,23.5,23.5,23.5,3000,23.5
2018-03-14,24.0,22.5,23.5,23.0,32300,23.0
2018-03-15,23.299999237060547,22.0,22.5,22.5,20400,22.5
2018-03-16,23.0,21.700000762939453,22.5,22.5,23700,22.5
2018-03-19,23.0,21.5,22.5,22.0,12900,22.0
2018-03-20,22.5,21.0,22.0,21.5,25000,21.5
2018-03-21,21.700000762939453,20.5,21.5,20.5,34300,20.5
2018-03-22,21.0,20.0,20.0,20.5,7600,20.5
2018-03-23,21.0,19.899999618530273,20.5,20.0,26800,20.0
2018-03-26,20.5,19.5,20.5,20.0,19000,20.0
2018-03-27,20.5,19.5,20.0,20.0,26800,20.0
2018-03-28,20.5,19.5,20.5,20.5,46500,20.5
2018-03-29,20.5,19.5,20.5,19.5,50300,19.5
2018-04-02,22.0,19.5,20.0,21.5,15600,21.5
2018-04-03,22.5,20.5,21.5,20.5,29500,20.5
2018-04-04,21.5,20.5,20.5,21.0,12400,21.0
2018-04-05,22.0,21.0,21.0,21.5,24100,21.5
2018-04-06,22.0,20.5,21.5,20.5,9500,20.5
2018-04-09,21.5,20.5,20.5,21.0,4500,21.0
2018-04-10,21.0,20.5,21.0,20.5,6700,20.5
2018-04-11,22.0,20.700000762939453,21.0,21.5,14200,21.5
2018-04-12,23.0,21.5,21.5,22.5,31400,22.5
2018-04-13,22.5,21.5,22.0,22.0,13200,22.0
2018-04-16,22.799999237060547,21.600000381469727,22.0,22.0,13700,22.0
2018-04-17,22.799999237060547,22.0,22.0,22.5,13600,22.5
2018-04-18,23.299999237060547,22.0,22.5,22.0,19400,22.0
2018-04-19,24.0,22.299999237060547,22.5,23.5,19900,23.5
2018-04-20,24.0,23.299999237060547,23.5,23.5,14100,23.5
2018-04-23,23.5,21.0,23.0,21.5,10500,21.5
2018-04-24,23.0,21.5,22.0,23.0,13700,23.0
2018-04-25,23.299999237060547,22.5,23.0,22.5,11400,22.5
2018-04-26,24.200000762939453,22.5,22.5,22.5,24100,22.5
2018-04-27,23.799999237060547,22.5,22.5,23.0,13300,23.0
2018-04-30,23.5,23.0,23.0,23.5,6200,23.5
2018-05-01,23.299999237060547,22.0,23.0,23.0,9400,23.0
2018-05-02,24.5,22.5,23.0,23.5,25200,23.5
2018-05-03,24.0,23.0,24.0,23.5,13000,23.5
2018-05-04,23.799999237060547,23.0,23.5,23.5,7700,23.5
2018-05-07,23.5,23.0,23.5,23.5,5600,23.5
2018-05-08,23.799999237060547,23.0,23.5,23.0,10000,23.0
2018-05-09,23.5,23.0,23.0,23.0,1700,23.0
2018-05-10,23.5,22.5,23.0,23.0,7300,23.0
2018-05-11,23.5,21.5,23.0,23.5,14800,23.5
